Symbol,Name,Stock Exchange,RBICS Economy,SIC Code
FHN,First Horizon Corporation,NYSE,Finance,6021
FICO,Fair Isaac Corporation,NYSE,Finance,7372
FIS,"Fidelity National Information Services, Inc.",NYSE,Finance,7371
FISV,"Fiserv, Inc.",NASDAQ,Finance,7374
FITB,Fifth Third Bancorp,NASDAQ,Finance,6022
FIVE,"Five Below, Inc.",NASDAQ,Consumer Non-Cyclicals,5331
FIX,"Comfort Systems USA, Inc.",NYSE,Industrials,1711
FIZZ,National Beverage Corp.,NASDAQ,Consumer Non-Cyclicals,2086
FL,"Foot Locker, Inc.",NYSE,Consumer Cyclicals,5661
FLGT,"Fulgent Genetics, Inc.",NASDAQ,Healthcare,8071
FLIR,"FLIR Systems, Inc.",NASDAQ,Industrials,3812
FLO,"Flowers Foods, Inc.",NYSE,Consumer Non-Cyclicals,2051
FLOW,"SPX Flow, Inc.",NYSE,Industrials,3556
FLR,Fluor Corporation,NYSE,Industrials,1389
FLS,Flowserve Corporation,NYSE,Industrials,3594
FLT,"FLEETCOR Technologies, Inc.",NYSE,Finance,7389
FMBI,"First Midwest Bancorp, Inc.",NASDAQ,Finance,6021
FMC,FMC Corporation,NYSE,Non-Energy Materials,2879
FN,Fabrinet,NYSE,Technology,3674
FNB,F.N.B. Corporation,NYSE,Finance,6021
FOE,Ferro Corporation,NYSE,Non-Energy Materials,2816
FORM,"FormFactor, Inc.",NASDAQ,Technology,3674
FORR,"Forrester Research, Inc.",NASDAQ,Business Services,8732
FOSL,"Fossil Group, Inc.",NASDAQ,Consumer Cyclicals,5944
FOXA,Fox Corporation Class A,NASDAQ,Consumer Services,4833
FOXF,Fox Factory Holding Corp.,NASDAQ,Consumer Cyclicals,3714
FR,"First Industrial Realty Trust, Inc.",NYSE,Finance,6798
FRC,First Republic Bank,NYSE,Finance,6029
FRGI,"Fiesta Restaurant Group, Inc.",NASDAQ,Consumer Services,5812
FRT,Federal Realty Investment Trust,NYSE,Finance,6798
FSLR,"First Solar, Inc.",NASDAQ,Industrials,3674
FSP,Franklin Street Properties Corp.,NYSE AMERICAN,Finance,6798
FSS,Federal Signal Corporation,NYSE,Industrials,3537
FTI,TechnipFMC Plc,NYSE,Energy,1389
FTNT,"Fortinet, Inc.",NASDAQ,Technology,7371
FTV,Fortive Corp.,NYSE,Industrials,3823
FUL,H.B. Fuller Company,NYSE,Non-Energy Materials,2891
FULT,Fulton Financial Corporation,NASDAQ,Finance,6021
FWRD,Forward Air Corporation,NASDAQ,Industrials,4731
GATX,GATX Corporation,NYSE,Finance,4741
GBCI,"Glacier Bancorp, Inc.",NASDAQ,Finance,6022
GBX,"Greenbrier Companies, Inc.",NYSE,Industrials,3743
GCI,"Gannett Co., Inc.",NYSE,Consumer Services,7313
GCO,Genesco Inc.,NYSE,Consumer Cyclicals,5661
GCP,"GCP Applied Technologies, Inc.",NYSE,Non-Energy Materials,2899
GD,General Dynamics Corporation,NYSE,Industrials,3721
GDOT,Green Dot Corporation Class A,NYSE,Finance,6022
GE,General Electric Company,NYSE,Industrials,3724
GEF,Greif Class A,NYSE,Non-Energy Materials,3412
GEO,GEO Group Inc,NYSE,Finance,8744
GEOS,Geospace Technologies Corporation,NASDAQ,Energy,3829
GES,"Guess?, Inc.",NYSE,Consumer Cyclicals,5651
GFF,Griffon Corporation,NYSE,Consumer Cyclicals,3423
GGG,Graco Inc.,NYSE,Industrials,3561
GHC,Graham Holdings Co.,NYSE,Consumer Non-Cyclicals,8221
GHL,"Greenhill & Co., Inc.",NYSE,Finance,6282
GIII,"G-III Apparel Group, Ltd.",NASDAQ,Consumer Cyclicals,2335
GILD,"Gilead Sciences, Inc.",NASDAQ,Healthcare,2834
GIS,"General Mills, Inc.",NYSE,Consumer Non-Cyclicals,2099
GKOS,Glaukos Corp,NYSE,Healthcare,3841
GL,Globe Life Inc.,NYSE,Finance,6311
GLT,Glatfelter Corporation,NYSE,Non-Energy Materials,2621
GLUU,Glu Mobile Inc.,NASDAQ,Technology,7372
GLW,Corning Inc,NYSE,Non-Energy Materials,3229
GM,General Motors Company,NYSE,Consumer Cyclicals,3711
GME,GameStop Corp. Class A,NYSE,Consumer Cyclicals,5734
GMED,Globus Medical Inc Class A,NYSE,Healthcare,3841
GMS,GMS Inc.,NYSE,Industrials,5211
GNL,Global Net Lease Inc,NYSE,Finance,6798
GNRC,Generac Holdings Inc.,NYSE,Industrials,3621
GNTX,Gentex Corporation,NASDAQ,Consumer Cyclicals,3714
GNW,"Genworth Financial, Inc. Class A",NYSE,Finance,6311
GO,Grocery Outlet Holding Corp.,NASDAQ,Consumer Non-Cyclicals,5411
GOOGL,Alphabet Inc. Class A,NASDAQ,Technology,7375
GPC,Genuine Parts Company,NYSE,Consumer Cyclicals,5013
GPI,"Group 1 Automotive, Inc.",NYSE,Consumer Cyclicals,5511
GPMT,Granite Point Mortgage Trust Inc.,NYSE,Finance,6798
