Month,Ticker,Company_name,Stock_exchange,Industry,SIC_Code,ESG_Rating,ESG_Score
10,ALXN,Alexion Pharmaceuticals Inc,NASDAQ,Healthcare,2834,B-,55.88036659
10,AM,Antero Midstream Corp,NYSE,Energy,4922,D,16.32597124
10,AMAT,Applied Materials Inc,NASDAQ,Technology,3559,A-,80.54621209
10,AMBC,Ambac Financial Group Inc,NYSE,Financials,6351,C,39.80752645
10,AMCX,AMC Networks Inc,NASDAQ,Consumer Cyclicals,4841,D,11.26096421
10,AMD,Advanced Micro Devices Inc,NASDAQ,Technology,3674,B+,67.46200713
10,AME,AMETEK Inc,NYSE,Industrials,3823,C,36.24965451
10,AMED,Amedisys Inc,NASDAQ,Healthcare,8082,C,35.41019218
10,AMG,Affiliated Managers Group Inc,NYSE,Financials,6282,B-,50.93402452
10,AMGN,Amgen Inc,NASDAQ,Healthcare,2836,B+,71.79491816
10,AMN,AMN Healthcare Services Inc,NYSE,Healthcare,7361,A-,79.5835923
10,AMP,Ameriprise Financial Inc,NYSE,Financials,6282,B+,66.90179071
10,AMPH,Amphastar Pharmaceuticals Inc,NASDAQ,Healthcare,2834,C,33.93998436
10,AMSF,Amerisafe Inc,NASDAQ,Financials,6331,C+,42.76909849
10,AMT,American Tower Corp,NYSE,Real Estate,6798,B+,69.49499366
10,AMWD,American Woodmark Corp,NASDAQ,Consumer Cyclicals,2434,D+,22.85657188
10,AMZN,Amazon.com Inc,NASDAQ,Consumer Cyclicals,5961,A,88.75160507
10,AN,AutoNation Inc,NYSE,Consumer Cyclicals,5511,B-,51.14164137
10,ANDE,Andersons Inc,NASDAQ,Consumer Non-Cyclicals,5153,C-,25.87325246
10,ANET,Arista Networks Inc,NYSE,Technology,7373,C+,49.61783307
10,ANF,Abercrombie & Fitch Co,NYSE,Consumer Cyclicals,5651,B+,68.8532814
10,ANGO,AngioDynamics Inc,NASDAQ,Healthcare,3841,C,39.02357948
10,ANIK,Anika Therapeutics Inc,NASDAQ,Healthcare,3841,C,37.85432244
10,ANIP,ANI Pharmaceuticals Inc,NASDAQ,Healthcare,2834,C-,25.35559414
10,ANSS,ANSYS Inc,NASDAQ,Technology,7378,B-,57.17334097
10,ANTM,Anthem Inc,NYSE,Healthcare,6324,A,83.42070658
10,AON,Aon PLC,NYSE,Financials,6411,B-,51.02353333
10,AOS,A. O. Smith Corp,NYSE,Industrials,3822,C,40.23672683
10,APA,Apache Corp,NASDAQ,Energy,1311,B,60.85584896
10,APD,Air Products and Chemicals Inc,NYSE,Basic Materials,2813,A,86.364762
